"birthyear","race","gender","att","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","online.length","study.choice","RID","online.why","com"
21,1,1,2,2,3,4,3,3,3,2,2,3,5,3,4,5,5,3,6,5,5,4,"m.supp",5,8.8,1,"si.supp",4,7.9,5,2,1,"5fd98e98-4681-d0e1-22ea-dfc219591596","To make extra money","None"
21,1,1,2,2,3,4,3,3,3,2,2,3,5,3,4,5,5,3,6,5,5,4,"m.supp",5,8.8,1,"si.supp",4,7.9,5,2,1,"5fd98e98-4681-d0e1-22ea-dfc219591596","To make extra money","None"
21,1,1,2,2,3,4,3,3,3,2,2,3,5,3,4,5,5,3,6,5,5,4,"m.supp",5,8.8,1,"si.supp",4,7.9,5,2,1,"5fd98e98-4681-d0e1-22ea-dfc219591596","To make extra money","None"
21,1,1,2,2,3,4,3,3,3,2,2,3,5,3,4,5,5,3,6,5,5,4,"m.supp",5,8.8,1,"si.supp",4,7.9,5,2,1,"5fd98e98-4681-d0e1-22ea-dfc219591596","To make extra money","None"
21,1,1,2,2,3,4,3,3,3,2,2,3,5,3,4,5,5,3,6,5,5,4,"m.supp",5,8.8,1,"si.supp",4,7.9,5,2,1,"5fd98e98-4681-d0e1-22ea-dfc219591596","To make extra money","None"
21,1,1,2,2,3,4,3,3,3,2,2,3,5,3,4,5,5,3,6,5,5,4,"m.supp",5,8.8,1,"si.supp",4,7.9,5,2,1,"5fd98e98-4681-d0e1-22ea-dfc219591596","To make extra money","None"
21,1,2,2,6,1,4,3,3,3,1,1,1,1,6,6,2,1,2,1,4,1,5,"control",3,6.2,3,"si.supp",3,5.8,5,2,6,"5fd98ec5-7e2a-817d-f751-231d9faffbd7","To earn extra money","None"
21,1,2,2,6,1,4,3,3,3,1,1,1,1,6,6,2,1,2,1,4,1,5,"control",3,6.2,3,"si.supp",3,5.8,5,2,6,"5fd98ec5-7e2a-817d-f751-231d9faffbd7","To earn extra money","None"
18,4,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,6,4,6,2,5,"m.supp",3,9.9,3,"m.opp",3,10,1,1,6,"5fd98f4d-56e9-1bee-135e-8e6a6c00cca2",NA,"Thank"
17,1,2,2,5,3,3,3,3,3,2,4,4,3,4,5,2,4,4,2,4,2,3,"m.supp",4,7.5,3,"m.opp",2,4.7,5,3,3,"5fd98e96-f597-9730-e3fb-df0ff3b216e9","Money",NA
1,1,1,2,1,2,1,1,1,2,2,5,5,5,5,6,1,2,1,1,5,2,1,"si.opp",5,8.7,3,"m.supp",5,9.4,5,5,6,"5fd98dee-6aa8-17d0-7073-c39fc4a981dd","Started with YouGov.  Enjoy them, rewarded for them",NA
5,8,2,2,5,2,1,1,1,1,2,5,5,5,6,6,5,5,6,4,5,5,2,"si.supp",5,10,3,"m.opp",3,6.2,5,5,2,"5fd98e75-2e96-2f43-3c43-4e9fac2500cf","To earn money",NA
5,8,2,2,5,2,1,1,1,1,2,5,5,5,6,6,5,5,6,4,5,5,2,"si.supp",5,10,3,"m.opp",3,6.2,5,5,2,"5fd98e75-2e96-2f43-3c43-4e9fac2500cf","To earn money",NA
5,8,2,2,5,2,1,1,1,1,2,5,5,5,6,6,5,5,6,4,5,5,2,"si.supp",5,10,3,"m.opp",3,6.2,5,5,2,"5fd98e75-2e96-2f43-3c43-4e9fac2500cf","To earn money",NA
16,3,2,2,3,1,1,1,1,2,4,4,4,6,6,6,6,2,6,3,4,3,2,"m.opp",3,5.2,3,"control",3,5.6,5,5,2,"5fd98e77-e86c-4a26-652e-5d29d801b45e","Good to give opinion to make things better",NA
10,1,2,2,2,2,2,1,3,2,1,6,4,5,NA,NA,NA,1,2,1,6,2,2,"si.supp",3,3.1,3,"control",3,5,5,2,3,"5fd98ef8-b0dd-a723-0a06-2c6a4fb40c0b","Extra money","Enjoying survey"
